name,description
iis-7,IIS (Internet Information Services) Version 7 – is a web server application and a set of feature extension modules created by Microsoft for use with Microsoft Windows. Released with Window Server 2008 and Windows Vista.
put,PUT is a HTTP method which requests that the enclosed entity be stored under the supplied URL.
quartz-graphics,Quartz is graphic framework used on Mac OS X. It forms a graphic layer. Term Quartz is used to represent Quartz 2D and Quartz Compositor. Quartz graphic is a 2D renderer in Core Graphics. 
layout-manager,"Layout Managers are a collection of standard Java based layout managers for AWT &amp; Swing components. The managers handle the logic of how to size, position &amp; align Components within a Container, and set the orientation of the container so that it is appropriate for the locale in which the program is running."
mesh,"Do NOT use for questions about mesh-networks. Use [mesh-network] instead.
A mesh is a collection of vertices, edges, and faces that defines the shape of a polyhedral object in 3D computer graphics and solid modeling."
tornado,Tornado is a scalable web server and web framework for Python specializing in handling thousands of simultaneous connections and real-time services.
number-formatting,"Number formatting is the process of converting a numeric value into a string suitable for display. Things to take into account are the decimal/thousands separator, digit grouping, the shape of the numbers, how a percentage or currency is displayed, and so on. "
ggplot2,"ggplot2 is an actively maintained open-source chart-drawing package for R, written by Hadley Wickham, based upon the principles of &quot;Grammar of Graphics&quot;.  It partially replaces R&#39;s basic plot and the lattice package, while providing a clean, powerful, orthogonal and fun API."
image,"The image tag is for questions related to the loading, formatting, saving, compression, and display of images in the context of source code. This tag should also be used for assistance using various image libraries. Questions about specific image formats should include the tags for those formats. Include tags to mention if the question relates to format conversion, processing, etc."
windows-10,"The successor to Microsoft Windows 8.1 which combines features from Windows 7 and 8.1, including touch-interface and restored Start Menu.  This tag exclusively is for programming questions related to Windows 10; general software issues not directly related to programming should be directed to Super User."
